reacts,T,logK_exp,NH,N1,N2-1,N2-2,N2-3
Exp-C3H8-1,1025,-11.55129,1,16.15,16.31,1,1
Exp-C3H8-1,1050,-11.49757,1,16.15,16.31,1,1
Exp-C3H8-1,1075,-11.44491,1,16.15,16.31,1,1
Exp-C3H8-1,1100,-11.39577,1,16.15,16.31,1,1
Exp-C3H8-1,1125,-11.34872,1,16.15,16.31,1,1
Exp-C3H8-1,1150,-11.30277,1,16.15,16.31,1,1
Exp-C3H8-1,753,-12.38195,1,16.15,16.31,1,1
Exp-C3H8-1,773,-12.31069,1,16.15,16.31,1,1
Exp-C3H8-2,500,-12.97469,1,16.31,16.15,16.15,1
Exp-C3H8-2,525,-12.83268,1,16.31,16.15,16.15,1
Exp-C3H8-2,534,-12.78252,1,16.31,16.15,16.15,1
Exp-C3H8-2,753,-12.09583,1,16.31,16.15,16.15,1
Exp-C3H8-2,773,-12.03621,1,16.31,16.15,16.15,1
Exp-C3H8-2,730,-12.6038,1,16.31,16.15,16.15,1
Exp-C3H8-2,750,-12.5376,1,16.31,16.15,16.15,1
Exp-C3H8-2,775,-12.45967,1,16.31,16.15,16.15,1
Exp-C3H8-2,780,-12.44491,1,16.31,16.15,16.15,1
Exp-C3H6-3,1061,-11.67985,1,18.72,136.75,1,1
Exp-C3H6-3,1075,-11.65758,1,18.72,136.75,1,1
Exp-C3H6-3,1100,-11.61979,1,18.72,136.75,1,1
Exp-C3H6-3,1125,-11.58336,1,18.72,136.75,1,1
Exp-C3H6-3,1150,-11.54821,1,18.72,136.75,1,1
Exp-C3H6-3,1175,-11.51428,1,18.72,136.75,1,1
Exp-C3H6-3,1200,-11.48149,1,18.72,136.75,1,1
Exp-C4H8-3-2,1000,-11.28988,1,23.33,141.46,1,1
Exp-C4H8-3-2,1025,-11.24718,1,23.33,141.46,1,1
Exp-C4H8-3-2,1050,-11.20691,1,23.33,141.46,1,1
Exp-C4H8-3-2,1075,-11.16813,1,23.33,141.46,1,1
Exp-C4H8-3-2,1100,-11.13136,1,23.33,141.46,1,1
Exp-C4H8-3-2,1125,-11.09637,1,23.33,141.46,1,1
Exp-C4H8-3-2,1150,-11.06248,1,23.33,141.46,1,1
Exp-C4H8-3-2,1175,-11.03012,1,23.33,141.46,1,1
EXP-C3H4-1-2,874,-12.15552,1,3.7,80.4,1,1
EXP-C3H4-1-2,875,-12.15243,1,3.7,80.4,1,1
EXP-C3H4-1-2,900,-12.0846,1,3.7,80.4,1,1
EXP-C3H4-1-2,925,-12.02,1,3.7,80.4,1,1
EXP-C3H4-1-2,950,-11.95861,1,3.7,80.4,1,1
EXP-C3H4-1-2,975,-11.89963,1,3.7,80.4,1,1
EXP-C3H4-1-2,1000,-11.84466,1,3.7,80.4,1,1
EXP-C3H4-1-2,1025,-11.79317,1,3.7,80.4,1,1
EXP-C4H10-1-1,753,-12.38195,1,13.83,25.13,1,1
EXP-C4H10-1-1,773,-12.31069,1,13.83,25.13,1,1
EXP-C4H10-1-1,890,-11.81248,1,13.83,25.13,1,1
EXP-C4H10-1-1,900,-11.78252,1,13.83,25.13,1,1
EXP-C4H10-1-1,925,-11.70997,1,13.83,25.13,1,1
EXP-C4H10-1-1,950,-11.64016,1,13.83,25.13,1,1
EXP-C4H10-1-1,975,-11.57349,1,13.83,25.13,1,1
EXP-C4H10-1-1,1000,-11.51004,1,13.83,25.13,1,1
EXP-C4H10-1-1,1025,-11.44733,1,13.83,25.13,1,1
EXP-C4H10-1-1,1050,-11.38828,1,13.83,25.13,1,1
EXP-C4H10-1-1,1075,-11.33161,1,13.83,25.13,1,1
EXP-C4H10-1-1,1100,-11.27654,1,13.83,25.13,1,1
EXP-C4H10-1-1,1125,-11.22257,1,13.83,25.13,1,1
EXP-C4H10-1-1,1146,-11.1798,1,13.83,25.13,1,1
EXP-C4H10-1-1,853,-12.09313,1,13.83,25.13,1,1
EXP-C4H10-1-1,875,-12.04818,1,13.83,25.13,1,1
EXP-C4H10-1-1,900,-12,1,13.83,25.13,1,1
EXP-C4H10-1-1,925,-11.95468,1,13.83,25.13,1,1
EXP-C4H10-1-1,950,-11.91009,1,13.83,25.13,1,1
EXP-C4H10-2-1,753,-12.09583,1,25.5,25,1,1
EXP-C4H10-2-1,773,-12.03621,1,25.5,25,1,1
EXP-C4H10-2-1,870,-11.83565,1,25.5,25,1,1
EXP-C4H10-2-1,875,-11.82102,1,25.5,25,1,1
EXP-C4H10-2-1,900,-11.74232,1,25.5,25,1,1
EXP-C4H10-2-1,925,-11.66756,1,25.5,25,1,1
EXP-C4H10-2-1,950,-11.59688,1,25.5,25,1,1
EXP-C4H10-2-1,975,-11.52724,1,25.5,25,1,1
EXP-C4H10-2-1,1000,-11.46218,1,25.5,25,1,1
EXP-C4H10-2-1,1025,-11.39903,1,25.5,25,1,1
EXP-C4H10-2-1,1050,-11.33819,1,25.5,25,1,1
EXP-C4H10-2-1,1075,-11.27984,1,25.5,25,1,1
EXP-C4H10-2-1,1100,-11.2233,1,25.5,25,1,1
EXP-C4H10-2-1,1125,-11.16877,1,25.5,25,1,1
EXP-C4H10-2-1,1130,-11.15802,1,25.5,25,1,1
EXP-C4H10-2-1,1022,-11.50864,1,25.5,25,1,1
EXP-C4H10-2-1,1025,-11.50031,1,25.5,25,1,1
EXP-C4H10-2-1,1050,-11.4389,1,25.5,25,1,1
EXP-C4H10-2-1,1075,-11.37986,1,25.5,25,1,1
EXP-C4H10-2-1,1100,-11.32331,1,25.5,25,1,1
EXP-C4H10-2-1,1125,-11.26922,1,25.5,25,1,1
EXP-C4H10-2-1,1150,-11.21824,1,25.5,25,1,1
EXP-C4H10-1-2,1011,-11.35556,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,1025,-11.32698,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,1050,-11.27819,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,1075,-11.2321,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,1100,-11.18776,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,1125,-11.14509,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,1150,-11.10458,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,1175,-11.06601,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,1200,-11.02872,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,1204,-11.02273,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,890,-11.4034,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,900,-11.37882,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,925,-11.31966,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,950,-11.26281,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,975,-11.20831,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,1000,-11.15614,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,1025,-11.10568,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,1050,-11.05651,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,1075,-11.00966,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,1100,-10.96257,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,1125,-10.92082,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,1146,-10.88606,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,753,-11.79317,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,773,-11.73518,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,500,-13.12901,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,525,-12.95468,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,550,-12.79317,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,575,-12.64782,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,600,-12.51428,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,625,-12.39041,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,650,-12.27654,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,675,-12.17198,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,700,-12.07417,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,725,-11.98297,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,750,-11.89963,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,753,-11.88941,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,730,-11.97062,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,750,-11.90309,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,775,-11.82391,1,25.13,25.13,13.83,1
EXP-C4H10-1-2,780,-11.80967,1,25.13,25.13,13.83,1
EXP-C4H10-2-2,870,-11.54821,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,875,-11.5376,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,900,-11.48945,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,925,-11.44249,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,950,-11.39686,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,975,-11.3536,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,1000,-11.31158,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,1025,-11.27084,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,1050,-11.23136,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,1075,-11.19382,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,1100,-11.15677,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,1125,-11.1209,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,1130,-11.11407,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,753,-11.81816,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,773,-11.77469,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,500,-12.92445,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,525,-12.77728,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,550,-12.64207,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,575,-12.52143,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,600,-12.40894,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,625,-12.30627,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,650,-12.21183,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,675,-12.12378,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,700,-12.04239,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,725,-11.96658,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,750,-11.8962,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,753,-11.88606,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,730,-11.93554,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,750,-11.87943,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,775,-11.81248,1,25,25.5,25.5,25.5
EXP-C4H10-2-2,780,-11.7986,1,25,25.5,25.5,25.5
